AnnoMeseEntrata;TOTALE_IN;qta_CF_IN;qta_SI_IN;qta_PT_IN;qta_CP_IN;TOTALE_OUT;qta_CF_OUT;qta_SI_OUT;qta_PT_OUT;qta_CP_OUT
202101;124;43;26;29;25;56;10;12;12;21
202102;122;35;26;28;33;142;43;23;38;37
202103;248;50;69;51;77;154;40;30;36;48
202104;2;0;1;1;0;21;5;6;4;5
202105;430;102;120;93;114;443;124;104;82;128
202106;21;1;5;9;6;81;20;15;14;31
202107;164;34;40;36;54;43;12;10;3;17
202108;203;46;69;24;62;130;50;23;18;38
202109;88;19;22;24;23;38;12;7;5;14
202110;137;35;41;33;28;65;14;18;13;20
202111;106;24;19;27;36;48;9;11;14;12
